Round,TrainingLoss,ValidationLoss,ValidationAccuracy
0.0,0.471081600116157,3.379848529882729,0.9252517057446146
1.0,0.22542744733614112,2.9865001316927375,0.9342910775114103
2.0,0.18796470322426845,2.664428064581007,0.9415970613578589
3.0,0.16530952867711612,2.489998150123283,0.9458707885951925
4.0,0.14780872675053863,2.2172596374806015,0.9522278029016447
5.0,0.13500917649752156,2.0253382044285537,0.9567836193673405
6.0,0.12356962514466252,1.899820177676156,0.9594609357869744
7.0,0.11403180170138429,1.7434200944332405,0.9639802036904003
8.0,0.10618333562112195,1.601821014751913,0.9653929686176316
9.0,0.0981967263965958,1.5753259340743535,0.9661121223136382
10.0,0.09246889961814868,1.478223911842797,0.9691075810082951
11.0,0.08667567761645524,1.4278021251480095,0.969816494731134
12.0,0.08218864377673837,1.3369105390366167,0.9730489569854691
13.0,0.07764091630233305,1.283085851642536,0.973250062074459
14.0,0.07396091857469092,1.2449592504138127,0.9739016063656191
15.0,0.07005329078757797,1.1979263496311614,0.9756117923467755
16.0,0.06693948266399778,1.1667554215539713,0.9762700445965702
17.0,0.06424379220238413,1.091145552709786,0.9767320596980096
18.0,0.06181484944880353,1.100961264501384,0.9775700050778959
19.0,0.058981780060889985,1.083491971109761,0.9774955782605145
20.0,0.05779506178719114,1.004261975887057,0.9790756821258273
21.0,0.056151806464273174,0.959924956765608,0.9807609085968039
22.0,0.05328802476641803,0.9316468112182338,0.9804853412443522
23.0,0.05195198988085978,0.939179994983715,0.9808034977326189
24.0,0.04983317335626873,0.9387646696295997,0.9805661123711044
25.0,0.04824957936179718,0.8967155251307122,0.9816695231405852
26.0,0.04740756275224081,0.8821831216115971,0.9812720125804074
27.0,0.04630351849476475,0.890106407275307,0.9820013644916296
28.0,0.045001763428468046,0.8638950779421429,0.9816986902999286
29.0,0.04377151762958776,0.8357319191429997,0.982746353109749
