Round,TrainingLoss,ValidationLoss,ValidationAccuracy
0.0,0.474282842644633,162.74861335754395,0.07736842105263157
1.0,0.31814882286616636,138.08985620737076,0.19336160845596956
2.0,0.2748585437677388,120.06234633922577,0.3542796011120283
3.0,0.2513804058155483,109.07350939512253,0.4460307610562371
4.0,0.23603538384246153,101.84273046255112,0.4844203125444764
5.0,0.224728846275995,98.78160412609577,0.5092036473010542
6.0,0.21456882862866575,91.74957156181335,0.5434328655603313
7.0,0.2071728123468224,90.17788387835026,0.5533511713301642
8.0,0.19862910334203682,85.05877077579498,0.5765737762469993
9.0,0.1921514749322122,81.11696675419807,0.5895417152941846
10.0,0.18626643990207856,80.66636756062508,0.5974866452231173
11.0,0.18034248637952377,78.81305065751076,0.608333570540738
12.0,0.17463717920747038,76.71879398077726,0.6153735067793876
13.0,0.1701926533073556,77.21714786440134,0.6101908096363136
14.0,0.16548448527271162,76.636514775455,0.6134872334974808
15.0,0.16148120834192942,74.06604768335819,0.6235676942491437
16.0,0.1567883480308897,72.63045495003462,0.6286699306405549
17.0,0.1532052631018064,72.10230252146721,0.6308701716432781
18.0,0.1495906003448686,70.09960868954659,0.6387503913922177
19.0,0.14626413924148668,68.82529109716415,0.6450728226732325
20.0,0.1432411271048361,69.18502119928598,0.63488410046208
21.0,0.13997413057642363,67.22305632382631,0.6457824523450324
22.0,0.13761952112295175,65.18419840186834,0.6606433064814551
23.0,0.1335589334358342,65.60447176918387,0.6515283747497462
24.0,0.13121815517235136,64.58386090025306,0.6543063581072747
25.0,0.1288132275095139,63.59366077184677,0.6681925744594044
26.0,0.12698725753778672,64.01122342795134,0.6618635013710588
27.0,0.12403880202030498,63.15939358249307,0.6609730247739414
28.0,0.12225384056562434,63.21500730141997,0.6636402797149716
29.0,0.12090037079724014,59.86051132157445,0.6863867619291604
