Round,TrainingLoss,ValidationLoss,ValidationAccuracy
0.0,0.7741997193581736,1312.375979423523,0.0
1.0,0.43255265820544,1943.7476663589478,0.0
2.0,0.3601275194574277,2069.380791028341,0.0
3.0,0.32085236516944593,2027.500283241272,0.0
4.0,0.2932874803280025,2023.2454614639282,0.0
5.0,0.2708177222529238,1983.906699816386,0.0
6.0,0.2517456731031121,1985.6464999516804,0.0
7.0,0.23536785027657967,1967.901969273885,0.0
8.0,0.22128338781161272,1949.6369673411052,0.0
9.0,0.20772044534872808,1937.3848009109497,0.0
10.0,0.19617877768899003,1922.2534459431965,0.0
11.0,0.18524348261405513,1920.0451882680256,0.0
12.0,0.17634762607662105,1902.4986763000488,0.0
13.0,0.16760906345436208,1901.2340106964111,0.0
14.0,0.1611858939845474,1889.6330506006877,0.0
15.0,0.15252052543660652,1903.8941044807434,0.0
16.0,0.1470977889299843,1895.6078481674194,0.0
17.0,0.14164047176409805,1888.41441822052,0.0
18.0,0.13574390166287545,1884.5070487658184,0.0
19.0,0.13190938763070154,1892.231471379598,0.0
20.0,0.12803029707227181,1876.655789534251,0.0
21.0,0.12317751681542845,1884.6741865475972,0.0
22.0,0.12007167328005647,1905.5441153844197,0.0
23.0,0.11687367557431515,1906.042857805888,0.0
24.0,0.1123149834537735,1906.6743510564168,0.0
25.0,0.10943565664031674,1907.2195267677307,0.0
26.0,0.10652771274471874,1906.8875042597454,0.0
27.0,0.10457555193713773,1912.3879318237305,0.0
28.0,0.10139682974092817,1911.2776743570964,0.0
29.0,0.09951885698553246,1927.2904969851177,0.0
